	Posteriors	FDR
2956	0.0	0.0
3414	0.0	0.0
4897	0.0	0.0
5159	0.0	0.0
5156	0.0	0.0
2961	0.0	0.0
3410	0.0	0.0
2963	0.0	0.0
2955	0.0	0.0
2964	0.0	0.0
2967	0.0	0.0
2968	0.0	0.0
2969	0.0	0.0
5151	0.0	0.0
3409	0.0	0.0
4898	0.0	0.0
2975	0.0	0.0
2977	0.0	0.0
5152	0.0	0.0
5177	0.0	0.0
2952	0.0	0.0
2948	0.0	0.0
5175	0.0	0.0
5173	0.0	0.0
4894	0.0	0.0
2926	0.0	0.0
2928	0.0	0.0
5168	0.0	0.0
2931	0.0	0.0
5165	0.0	0.0
2949	0.0	0.0
2936	0.0	0.0
3415	0.0	0.0
2940	0.0	0.0
2942	0.0	0.0
2943	0.0	0.0
2944	0.0	0.0
2945	0.0	0.0
2946	0.0	0.0
2947	0.0	0.0
2938	0.0	0.0
5056	0.0	0.0
5055	0.0	0.0
3097	0.0	0.0
3248	0.0	0.0
4964	0.0	0.0
3251	0.0	0.0
3252	0.0	0.0
3347	0.0	0.0
3255	0.0	0.0
3257	0.0	0.0
3260	0.0	0.0
3247	0.0	0.0
3261	0.0	0.0
3345	0.0	0.0
3264	0.0	0.0
4960	0.0	0.0
3266	0.0	0.0
3344	0.0	0.0
3268	0.0	0.0
4958	0.0	0.0
3272	0.0	0.0
3262	0.0	0.0
3273	0.0	0.0
3246	0.0	0.0
3243	0.0	0.0
3216	0.0	0.0
4975	0.0	0.0
4973	0.0	0.0
3220	0.0	0.0
3354	0.0	0.0
4917	0.0	0.0
3352	0.0	0.0
3224	0.0	0.0
3245	0.0	0.0
3351	0.0	0.0
3228	0.0	0.0
3231	0.0	0.0
4968	0.0	0.0
3235	0.0	0.0
4967	0.0	0.0
3240	0.0	0.0
3241	0.0	0.0
3242	0.0	0.0
4970	0.0	0.0
4977	0.0	0.0
3343	0.0	0.0
4957	0.0	0.0
3306	0.0	0.0
3336	0.0	0.0
3334	0.0	0.0
3309	0.0	0.0
3332	0.0	0.0
4923	0.0	0.0
3312	0.0	0.0
4926	0.0	0.0
3337	0.0	0.0
3314	0.0	0.0
3329	0.0	0.0
3317	0.0	0.0
3318	0.0	0.0
3320	0.0	0.0
4934	0.0	0.0
3323	0.0	0.0
3324	0.0	0.0
3325	0.0	0.0
3315	0.0	0.0
3276	0.0	0.0
3304	0.0	0.0
3300	0.0	0.0
3341	0.0	0.0
4954	0.0	0.0
3340	0.0	0.0
3283	0.0	0.0
4953	0.0	0.0
4949	0.0	0.0
3339	0.0	0.0
4946	0.0	0.0
3338	0.0	0.0
3289	0.0	0.0
3291	0.0	0.0
3292	0.0	0.0
3293	0.0	0.0
3294	0.0	0.0
4945	0.0	0.0
3296	0.0	0.0
4942	0.0	0.0
4941	0.0	0.0
3290	0.0	0.0
3355	0.0	0.0
3213	0.0	0.0
3212	0.0	0.0
3126	0.0	0.0
5039	0.0	0.0
5038	0.0	0.0
3379	0.0	0.0
3132	0.0	0.0
5036	0.0	0.0
3134	0.0	0.0
3378	0.0	0.0
3381	0.0	0.0
5033	0.0	0.0
3377	0.0	0.0
5032	0.0	0.0
3140	0.0	0.0
3142	0.0	0.0
3143	0.0	0.0
3376	0.0	0.0
5030	0.0	0.0
5029	0.0	0.0
3137	0.0	0.0
3147	0.0	0.0
3124	0.0	0.0
5041	0.0	0.0
4903	0.0	0.0
3099	0.0	0.0
3100	0.0	0.0
5053	0.0	0.0
3103	0.0	0.0
5052	0.0	0.0
3385	0.0	0.0
3108	0.0	0.0
3123	0.0	0.0
3110	0.0	0.0
5044	0.0	0.0
3114	0.0	0.0
3116	0.0	0.0
3117	0.0	0.0
3118	0.0	0.0
5043	0.0	0.0
3382	0.0	0.0
3121	0.0	0.0
3111	0.0	0.0
5026	0.0	0.0
3149	0.0	0.0
5021	0.0	0.0
5002	0.0	0.0
3360	0.0	0.0
3188	0.0	0.0
3189	0.0	0.0
3190	0.0	0.0
3359	0.0	0.0
4998	0.0	0.0
4997	0.0	0.0
5003	0.0	0.0
4991	0.0	0.0
3199	0.0	0.0
3202	0.0	0.0
3203	0.0	0.0
4987	0.0	0.0
4985	0.0	0.0
3358	0.0	0.0
3209	0.0	0.0
3210	0.0	0.0
4989	0.0	0.0
3362	0.0	0.0
3363	0.0	0.0
5004	0.0	0.0
3152	0.0	0.0
3153	0.0	0.0
5018	0.0	0.0
5016	0.0	0.0
3159	0.0	0.0
4905	0.0	0.0
5015	0.0	0.0
3162	0.0	0.0
3165	0.0	0.0
5010	0.0	0.0
3170	0.0	0.0
3171	0.0	0.0
3369	0.0	0.0
4913	0.0	0.0
3176	0.0	0.0
3365	0.0	0.0
4914	0.0	0.0
5006	0.0	0.0
3180	0.0	0.0
2864	0.0	0.0
2380	0.0	0.0
2863	0.0	0.0
2859	0.0	0.0
5400	0.0	0.0
3518	0.0	0.0
2534	0.0	0.0
5399	0.0	0.0
3517	0.0	0.0
5397	0.0	0.0
5396	0.0	0.0
2542	0.0	0.0
2530	0.0	0.0
5395	0.0	0.0
5391	0.0	0.0
2547	0.0	0.0
4827	0.0	0.0
5387	0.0	0.0
3515	0.0	0.0
2552	0.0	0.0
5383	0.0	0.0
2554	0.0	0.0
5393	0.0	0.0
2555	0.0	0.0
2529	0.0	0.0
5401	0.0	0.0
5421	0.0	0.0
2502	0.0	0.0
5418	0.0	0.0
2508	0.0	0.0
4821	0.0	0.0
5413	0.0	0.0
4822	0.0	0.0
5409	0.0	0.0
2527	0.0	0.0
2514	0.0	0.0
5407	0.0	0.0
2518	0.0	0.0
2519	0.0	0.0
2520	0.0	0.0
4823	0.0	0.0
4824	0.0	0.0
4825	0.0	0.0
2525	0.0	0.0
2515	0.0	0.0
3527	0.0	0.0
5382	0.0	0.0
5381	0.0	0.0
2590	0.0	0.0
3507	0.0	0.0
5366	0.0	0.0
5363	0.0	0.0
2595	0.0	0.0
3506	0.0	0.0
2597	0.0	0.0
5360	0.0	0.0
2589	0.0	0.0
2600	0.0	0.0
2607	0.0	0.0
5357	0.0	0.0
2609	0.0	0.0
2610	0.0	0.0
3504	0.0	0.0
5351	0.0	0.0
2618	0.0	0.0
2620	0.0	0.0
2603	0.0	0.0
2559	0.0	0.0
2588	0.0	0.0
2585	0.0	0.0
2562	0.0	0.0
2563	0.0	0.0
5380	0.0	0.0
4833	0.0	0.0
2566	0.0	0.0
2568	0.0	0.0
5379	0.0	0.0
2570	0.0	0.0
2586	0.0	0.0
5376	0.0	0.0
2575	0.0	0.0
2576	0.0	0.0
3509	0.0	0.0
3508	0.0	0.0
5370	0.0	0.0
5369	0.0	0.0
2583	0.0	0.0
2584	0.0	0.0
5375	0.0	0.0
5349	0.0	0.0
5422	0.0	0.0
2496	0.0	0.0
2417	0.0	0.0
5462	0.0	0.0
2420	0.0	0.0
5461	0.0	0.0
3547	0.0	0.0
5459	0.0	0.0
2425	0.0	0.0
3546	0.0	0.0
2416	0.0	0.0
2427	0.0	0.0
5457	0.0	0.0
5455	0.0	0.0
3544	0.0	0.0
4807	0.0	0.0
3542	0.0	0.0
5450	0.0	0.0
2437	0.0	0.0
3541	0.0	0.0
2428	0.0	0.0
2439	0.0	0.0
2415	0.0	0.0
4802	0.0	0.0
5474	0.0	0.0
3559	0.0	0.0
2384	0.0	0.0
3558	0.0	0.0
5472	0.0	0.0
2389	0.0	0.0
2391	0.0	0.0
2394	0.0	0.0
2413	0.0	0.0
2395	0.0	0.0
5470	0.0	0.0
2401	0.0	0.0
3553	0.0	0.0
2404	0.0	0.0
2405	0.0	0.0
2407	0.0	0.0
2410	0.0	0.0
4798	0.0	0.0
3554	0.0	0.0
5423	0.0	0.0
4808	0.0	0.0
2443	0.0	0.0
4814	0.0	0.0
2472	0.0	0.0
2473	0.0	0.0
4817	0.0	0.0
5429	0.0	0.0
2478	0.0	0.0
2480	0.0	0.0
5428	0.0	0.0
2470	0.0	0.0
2484	0.0	0.0
5427	0.0	0.0
2488	0.0	0.0
2489	0.0	0.0
3528	0.0	0.0
2491	0.0	0.0
2493	0.0	0.0
2494	0.0	0.0
5424	0.0	0.0
4818	0.0	0.0
2441	0.0	0.0
2469	0.0	0.0
4813	0.0	0.0
4810	0.0	0.0
3538	0.0	0.0
3537	0.0	0.0
5442	0.0	0.0
5440	0.0	0.0
2452	0.0	0.0
2453	0.0	0.0
5439	0.0	0.0
2468	0.0	0.0
2455	0.0	0.0
3535	0.0	0.0
2459	0.0	0.0
2460	0.0	0.0
4811	0.0	0.0
2462	0.0	0.0
2463	0.0	0.0
5432	0.0	0.0
2466	0.0	0.0
5436	0.0	0.0
2622	0.0	0.0
5345	0.0	0.0
3500	0.0	0.0
2774	0.0	0.0
2775	0.0	0.0
2776	0.0	0.0
2777	0.0	0.0
5241	0.0	0.0
5240	0.0	0.0
2780	0.0	0.0
2781	0.0	0.0
3449	0.0	0.0
2782	0.0	0.0
5237	0.0	0.0
2786	0.0	0.0
4877	0.0	0.0
5234	0.0	0.0
5233	0.0	0.0
5232	0.0	0.0
5231	0.0	0.0
5230	0.0	0.0
2784	0.0	0.0
2794	0.0	0.0
2772	0.0	0.0
2770	0.0	0.0
5257	0.0	0.0
4873	0.0	0.0
2749	0.0	0.0
2750	0.0	0.0
5256	0.0	0.0
4874	0.0	0.0
5255	0.0	0.0
2754	0.0	0.0
2771	0.0	0.0
